backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,model,n_layers,r,rnn_type,seed,strategy,total_params,trainable_params,weight_decay,id,name,best_train_next_remaining_time_loss,_runtime,train_next_activity_acc,best_train_next_activity_loss,train_next_time_to_next_event_loss,_timestamp,_wandb.runtime,train_next_activity_loss,best_train_next_time_to_next_event_loss,_step,best_test_next_remaining_time_loss,test_next_activity_acc,train_next_remaining_time_loss,best_train_next_activity_acc,test_next_remaining_time_loss,test_next_time_to_next_event_loss,best_test_next_activity_acc,test_next_activity_loss,best_test_next_activity_loss,best_test_next_time_to_next_event_loss,few_shot_k
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,"0,1",5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,43,sum,1315749922,100878370,0.1,10pdim9x,avid-disco-70,0.5986022415455807,133.286759446,0.850374531835206,0.4970889135246419,0.5968672187140819,1763424225.6407058,133,0.4970889135246419,0.5968672187140819,9,0.9162523919284934,0.6207920792079208,0.5986022415455807,0.850374531835206,1.047659408833721,1.740794116671723,0.6944554455445544,1.119275830240533,0.8771519648202575,0.9992180185034724,
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,0,5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,43,sum,1315749922,50526242,0.1,nh24ucvz,vague-star-71,0.6513304117020596,121.90164443,0.7943820224719101,0.7138472458842988,0.6486238834228408,1763424360.5840218,121,0.7161501159382223,0.6486238834228408,9,0.8886380758379946,0.5942574257425742,0.6513304117020596,0.7943820224719101,0.9062972693868204,1.056584431015619,0.5942574257425742,1.3244321655046822,1.3244321655046822,1.013204439370939,
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,-1,5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,43,sum,1315749922,50526242,0.1,mvzl48bv,icy-grass-72,0.6979844495375058,121.804121838,0.6272471910112359,1.311158685648486,0.7848126392909204,1763424495.6197195,121,1.311158685648486,0.7848126392909204,9,0.9048438604751436,0.517029702970297,0.6989989650160185,0.6272471910112359,0.9146936401518264,1.151803706306042,0.517029702970297,1.6470397876512886,1.6470397876512886,1.151803706306042,
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,,5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,43,sum,1315749922,174114,0.1,p4t3sby0,worldly-oath-73,0.7149679499172539,111.076158737,0.677059925093633,1.2788625927900108,0.8544731130090992,1763424620.0085275,111,1.2788625927900108,0.8544731130090992,9,1.0483261666439547,0.5875247524752475,0.7156921796137921,0.677059925093633,1.0806873965499424,1.336245662481478,0.6188118811881188,1.5125201333867442,1.4490451632395829,1.2809025941036716,
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,0,freeze,,5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,43,sum,1315749922,174114,0.1,qnql2x1w,visionary-cosmos-74,,2.777664374,,,,1763424635.3753922,2,,,0,2.5275670631333154,0.022178217821782177,,,2.5275670631333154,3.2416766176129332,0.022178217821782177,4.133248010012183,4.133248010012183,3.2416766176129332,
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,,5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,43,sum,1315749922,174114,0.1,hk06yvti,still-moon-75,1.1905046061136837,29.913072812,0.08733624454148471,3.2083582066032044,1.937146290420965,1763424677.3146207,29,3.2083582066032044,1.937146290420965,9,1.54371404289019,0.1011881188118812,1.2066581905148437,0.08733624454148471,1.5660520919950882,1.7241927673793076,0.10891089108910892,3.3781804562559223,3.344104604060107,1.6898503664224456,8.0
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,lora,,5,2048,BPI20PrepaidTravelCosts,512,5e-05,nep,1,256,lstm,43,sum,1366081570,50505762,0.1,ok6l0pol,solar-valley-76,1.2581632054008252,35.69640809,0.13100436681222707,3.11677270581108,1.7911498762634643,1763424725.4064753,35,3.11677270581108,1.776256736188997,9,1.0527214648936054,0.0594059405940594,1.2581632054008252,0.13100436681222707,1.0527214648936054,1.613847155429349,0.09623762376237624,3.09027929475992,3.09027929475992,1.491653351830964,8.0
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,lora,,5,2048,BPI20PrepaidTravelCosts,512,5e-05,nep,1,256,lstm,44,sum,1366081570,50505762,0.1,yuupxigl,neat-plant-77,0.6869870630766122,133.620659921,0.5352059925093633,0.4926526426376028,0.9187574792778894,1763424871.1903658,133,1.6788161911767967,0.6932473774817999,9,1.0002864390080517,0.26732673267326734,0.8332142358415582,0.8453183520599251,1.5062369625167091,1.533936058176626,0.7279207920792079,2.6498167070067753,0.8058867151430338,1.006504853975655,
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,"-1,-2",5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,44,sum,1315749922,100878370,0.1,4ugaz50s,expert-plasma-78,0.6929464439216177,133.267485731,0.7385767790262172,0.9217517162530164,0.7208125329642706,1763425018.065544,133,0.9217517162530164,0.7161004346408201,9,1.0286784693274167,0.5217821782178218,0.6929464439216177,0.7385767790262172,1.0286784693274167,1.1918660789905209,0.5217821782178218,1.799721216636129,1.799721216636129,1.1916108635628575,
gptneo-1b3,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2048,10,freeze,"0,1",5,2048,BPI20PrepaidTravelCosts,,5e-05,nep,1,,lstm,44,sum,1315749922,100878370,0.1,9ojzve0l,curious-monkey-79,0.6009985838043556,133.154190445,0.8456928838951311,0.5034740145733294,0.5975093776367131,1763425164.8563757,133,0.5152200431859448,0.5975093776367131,9,0.9102146765265134,0.6504950495049505,0.6009985838043556,0.85,1.0792108936120968,1.553494887210355,0.6504950495049505,1.0388122340476158,1.0388122340476158,1.0058312140360917,
