backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,n_layers,r,rnn_type,strategy,total_params,trainable_params,weight_decay,id,name,test_next_activity_loss,train_next_time_to_next_event_loss,best_train_next_activity_acc,_wandb.runtime,_step,best_test_next_activity_acc,train_next_activity_loss,best_test_next_activity_loss,best_train_next_time_to_next_event_loss,best_test_next_time_to_next_event_loss,test_next_time_to_next_event_loss,test_next_activity_acc,test_next_remaining_time_loss,best_train_next_remaining_time_loss,train_next_remaining_time_loss,best_test_next_remaining_time_loss,train_next_activity_acc,_timestamp,best_train_next_activity_loss,_runtime,model,few_shot_k,seed
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,,5,896,BPI20TravelPermitData,,5e-05,1,,lstm,sum,494146615,157751,0.1,ncqzv391,flowing-cosmos-24,1.267382352003973,0.687273181694834,0.7954046031072902,380,9,0.6079962951528249,0.6942672614414481,1.267382352003973,0.687273181694834,0.9689106491621206,0.9690540974432392,0.6079962951528249,0.8698390267888275,0.48995291233117894,0.48995291233117894,0.8564472426378863,0.7954046031072902,1762644483.5397909,0.6942672614414481,380.865387761,nep,,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,lora,,5,896,BPI20RequestForPayment,512,5e-05,1,256,lstm,sum,634856981,140824213,0.1,skrptjoq,jumping-butterfly-25,0.2647430565932515,0.7072001227930195,0.8798536375376668,751,9,0.8913506604175543,0.30145436772179407,0.2643390274779259,0.6965373991893583,0.7445805186220333,0.7701822235712594,0.8801306632580599,0.6511543106243803,0.5880761329387726,0.5949968357974992,0.6511543106243803,0.8785622040464917,1762645251.0109007,0.2982722862907078,750.986975278,nep,,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,"-1,-2",5,896,BPI20RequestForPayment,,5e-05,1,,lstm,sum,494085653,29917973,0.1,pyq6vrok,revived-brook-26,0.2949839322307269,0.4716543946756765,0.8923374946190271,382,9,0.8903564834540548,0.283101938153668,0.2949839322307269,0.4716543946756765,0.7887104761361771,0.8203744278122055,0.8902144581735549,0.7153179051269609,0.4583826974092041,0.4583826974092041,0.6799169782717921,0.8923374946190271,1762645649.5451016,0.283101938153668,382.45378163,nep,,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,"0,1",5,896,BPI20RequestForPayment,,5e-05,1,,lstm,sum,494085653,29917973,0.1,c6pqr2j1,flowing-fire-27,0.33794972070694784,0.5938898763110604,0.8893671975893241,381,9,0.8897883823320551,0.2780653839833871,0.28269616942262804,0.5938898763110604,0.7660693894765405,0.9902069564909272,0.8804147138190598,0.95574155935356,0.5120253977157717,0.5120253977157717,0.7216629770699083,0.8893671975893241,1762646045.821505,0.2780653839833871,381.261080005,nep,,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,0,5,896,BPI20RequestForPayment,,5e-05,1,,lstm,sum,494085653,15007381,0.1,reqv391f,fluent-donkey-28,0.2892272945426266,0.6772398850448779,0.8801980198019802,371,9,0.892060786820054,0.31968348428600574,0.28253958750441577,0.6772398850448779,0.7718180856351198,0.7957296696530031,0.8916347109785542,0.7186001055180696,0.5672713558683096,0.5672713558683096,0.7122710614935137,0.8787343951786483,1762646432.3385952,0.31015555405996503,371.343786474,nep,,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,-1,5,896,BPI20RequestForPayment,,5e-05,1,,lstm,sum,494085653,15007381,0.1,i1hi4imj,vibrant-pine-29,0.30775249696830986,0.4525751626650629,0.8918209212225571,367,9,0.889930407612555,0.28968282954938135,0.28587576280075655,0.4525751626650629,0.7693530927749371,1.0432208956109077,0.8835392699900583,0.8757854932886077,0.4649185554969942,0.4649185554969942,0.6695166705532044,0.8917778734395179,1762646815.498895,0.28968282954938135,367.780484435,nep,,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,,5,896,BPI20RequestForPayment,,5e-05,1,,lstm,sum,494085653,96789,0.1,2auxc8ee,helpful-valley-30,0.2995155461385429,0.6947674463598881,0.8736547567800258,356,9,0.8910666098565545,0.3531626109978376,0.2995155461385429,0.6947674463598881,0.7371293527635385,0.7371293527635385,0.8887942053685556,0.688557373124621,0.5818659808940534,0.5818659808940534,0.6883562205782873,0.8736547567800258,1762647187.576803,0.3531626109978376,356.828176739,nep,,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,,5,896,BPI12,,5e-05,1,,lstm,sum,494099997,111133,0.1,s567wvhr,usual-salad-31,3.6133535636436065,0.9128178694906334,0.22395833333333337,121,9,0.03419002001715756,2.6656010473767915,3.60581797615337,0.9128178694906334,2.1011173922716635,2.1011173922716635,0.03419002001715756,3.271991445597987,0.6031768024355794,0.6031768024355794,3.270827382266061,0.22395833333333337,1763291938.3863366,2.6656010473767915,121.726545492,nep,8.0,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,lora,,5,896,BPI12,512,5e-05,1,256,lstm,sum,634871325,140838557,0.1,0zhp66tr,prime-rain-32,3.215689758113155,1.1144954653767247,0.052083333333333336,177,9,0.18721404060623392,2.9536758263905845,2.994172489639688,0.9464340014771248,1.576577262279133,1.7782555510275853,0.018462253360022877,3.434929290570666,0.7819268989066283,0.8891037615636984,1.3420118883333103,0.041666666666666664,1763292132.1476066,2.9536758263905845,177.517229417,nep,8.0,
qwen25-05b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,896,10,freeze,,5,896,BPI17,,5e-05,1,,lstm,sum,494101790,112926,0.1,3uhilpwm,polar-planet-33,3.501577267890737,2.6024314510822295,0.185,368,9,0.05080676338331943,2.9108329677581786,3.501577267890737,2.6024314510822295,1.595873719464282,1.595873719464282,0.05080676338331943,1.6027786530996304,0.7344817101955414,0.7344817101955414,1.6027786530996304,0.185,1763292528.7802317,2.9108329677581786,368.731068551,nep,8.0,
