backbone,batch_size,categorical_features,categorical_targets,continuous_features,continuous_targets,device,embedding_size,epochs,fine_tuning,freeze_layers,grad_clip,hidden_size,log,lora_alpha,lr,model,n_layers,r,rnn_type,seed,strategy,total_params,trainable_params,weight_decay,id,name,best_train_next_activity_loss,best_test_next_remaining_time_loss,train_next_remaining_time_loss,best_test_next_activity_acc,test_next_activity_acc,train_next_activity_acc,best_train_next_time_to_next_event_loss,test_next_activity_loss,test_next_remaining_time_loss,test_next_time_to_next_event_loss,_wandb.runtime,train_next_time_to_next_event_loss,best_test_next_activity_loss,train_next_activity_loss,_timestamp,best_train_next_activity_acc,_step,_runtime,best_test_next_time_to_next_event_loss,best_train_next_remaining_time_loss,few_shot_k
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,"0,1",5,2304,BPI12,,5e-05,nep,1,,lstm,43,sum,2614514717,156128285,0.1,r5zgalq6,chocolate-blaze-90,0.4190548538356446,2.0532537148932506,0.6626277429863192,0.7839219330855018,0.7768444380897912,0.8402327599407892,0.651869837959382,0.7482599721811893,2.454199471236104,1.3319205860077017,2530,0.654159554373595,0.7370391310215815,0.4190548538356446,1763469972.0915978,0.8402327599407892,9,2530.558471107,1.3158887408850932,0.6626277429863192,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,0,5,2304,BPI12,,5e-05,nep,1,,lstm,43,sum,2614514717,78271517,0.1,lvo4xmme,genial-disco-91,0.44610824315278136,2.125162470365656,0.658811193668945,0.7892836717186159,0.7718401486988847,0.8333418406411107,0.6743163931220169,0.7392628729377503,2.2819987562289827,1.340750477064818,2407,0.6743163931220169,0.7392628729377503,0.44610824315278136,1763472565.5326836,0.8333418406411107,9,2407.416700759,1.3238124874843114,0.658811193668945,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,-1,5,2304,BPI12,,5e-05,nep,1,,lstm,43,sum,2614514717,78271517,0.1,z0vat644,denim-cosmos-92,0.421405760010694,2.202646306400849,0.6733810775680281,0.801365456105233,0.7802402058907635,0.839382029163051,0.6878026797565054,0.6559518324347063,2.406715221101784,1.4481827929233604,2402,0.6878026797565054,0.59949854606044,0.421405760010694,1763475183.107106,0.839382029163051,9,2402.165329887,1.3440153291957624,0.6733810775680281,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,,5,2304,BPI12,,5e-05,nep,1,,lstm,43,sum,2614514717,414749,0.1,iw41p9ez,blooming-terrain-93,0.9136899050361982,1.8709116855022103,0.6805669622379111,0.4393587360594795,0.4393587360594795,0.6497541388052337,0.8744253655701794,1.4384872262089945,1.9481903191443883,1.4975384807941594,2291,0.8744253655701794,1.4384872262089945,0.9136899050361982,1763477629.249982,0.6497541388052337,9,2291.048042986,1.4760007595652456,0.6805669622379111,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,0,freeze,,5,2304,BPI12,,5e-05,nep,1,,lstm,43,sum,2614514717,414749,0.1,rcxvqzzh,usual-thunder-94,,1.2587710148885245,,0.0416964541035173,0.0416964541035173,,,4.437554789639419,1.2587710148885245,3.0699756859983074,36,,4.437554789639419,,1763477877.5681002,,0,36.538181953,3.0699756859983074,,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,,5,2304,BPI12,,5e-05,nep,1,,lstm,43,sum,2614514717,414749,0.1,7wm7p8ty,light-valley-95,2.0664299527804055,1.247559615312592,0.4600865909208854,0.13592007434944237,0.13592007434944237,0.546875,0.7255769268376753,3.9165224568789982,1.406036948455481,1.609370780866918,408,0.7255769268376753,3.8074818251983142,2.0664299527804055,1763478477.2045803,0.546875,9,408.415604154,1.5593955226035878,0.4600865909208854,8.0
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,lora,,5,2304,BPI12,512,5e-05,nep,1,256,lstm,43,sum,2946782237,332440349,0.1,4xf4xq9a,avid-violet-96,1.4616955394546192,1.5006022496942046,0.8137488861878713,0.1782241921647126,0.16074492422076064,0.59375,0.9555314963993928,3.086213387453048,1.9119814475809196,1.6299947520852736,531,1.156015449669212,2.789305743947519,1.4616955394546192,1763479188.9837189,0.59375,9,531.803717889,1.595746857102618,0.692420489465197,8.0
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,lora,,5,2304,BPI12,512,5e-05,nep,1,256,lstm,44,sum,2946782237,332440349,0.1,dsn2wgm3,dauntless-donkey-97,0.471837134634114,1.92875894413894,0.6626694468957592,0.6959358021160995,0.6875536173863311,0.8182413693362598,0.7205974783318578,0.96748387453929,2.1111304530357766,1.3704902765447364,3375,0.7273554550205644,0.9284124182809378,0.4831922167956717,1763482746.223356,0.8226991986116073,9,3375.056334159,1.320624845809377,0.6626694468957592,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,"-1,-2",5,2304,BPI12,,5e-05,nep,1,,lstm,44,sum,2614514717,156128285,0.1,e1feh4qs,stellar-bush-98,0.41077882970592144,2.2023072125065792,0.6806115814774687,0.7823670288818988,0.6350085787818129,0.8431167372773212,0.6797095630495086,1.0232368625204054,2.935454086701211,1.3581579370571426,2523,0.6797095630495086,0.732993274782261,0.41077882970592144,1763485539.1693184,0.8431167372773212,9,2523.871286872,1.3581579370571426,0.6771772672243914,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,"0,1",5,2304,BPI12,,5e-05,nep,1,,lstm,44,sum,2614514717,156128285,0.1,5vsv8pjq,genial-lake-99,0.4174371911472836,2.463307762118046,0.66025199075681,0.8128395767800972,0.7647805261652846,0.8406240960985486,0.6514226274197454,0.6947883594017353,2.4849146619762172,1.2775458511927058,2526,0.6514226274197454,0.6780120913543325,0.4174371911472836,1763488246.8792963,0.8411600564885237,9,2526.363791776,1.2775458511927058,0.66025199075681,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,0,5,2304,BPI12,,5e-05,nep,1,,lstm,44,sum,2614514717,78271517,0.1,rre8xg9k,dandy-elevator-100,0.4481176442635738,2.1636291237647596,0.6571778658456243,0.7990062911066629,0.7921432656562768,0.8341160056488524,0.6764270428693563,0.7215843619296712,2.412676122335172,1.3221396442730706,2423,0.6764270428693563,0.6833353392824569,0.4481176442635738,1763490938.1127417,0.8341160056488524,9,2423.848694693,1.2930004350275914,0.6571778658456243,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,-1,5,2304,BPI12,,5e-05,nep,1,,lstm,44,sum,2614514717,78271517,0.1,rlky804a,stellar-morning-101,0.4164699689252306,2.454914783968929,0.6759961880304408,0.7906241063768945,0.6324528167000286,0.8414237830296224,0.6949369925019658,1.385305949026324,2.758789594194175,1.4486463568973642,2424,0.6949369925019658,0.7103944986990461,0.4164699689252306,1763493669.0460768,0.8414237830296224,9,2423.990609768,1.3631069694594702,0.6754164123315073,
gemma-2-2b,8,['activity'],['activity'],"['accumulated_time', 'day_of_month', 'day_of_week', 'day_of_year', 'hour_of_day', 'min_of_hour', 'month_of_year', 'sec_of_min', 'secs_within_day', 'week_of_year']","['remaining_time', 'time_to_next_event']",cuda,2304,10,freeze,,5,2304,BPI12,,5e-05,nep,1,,lstm,44,sum,2614514717,414749,0.1,dvyn657l,easy-wildflower-102,0.8997655488540395,2.015926296225903,0.681174252362859,0.400897197597941,0.400897197597941,0.6612134823813656,0.8717946308340402,1.500555455019926,2.015926296225903,1.5226884673179513,2314,0.8717946308340402,1.500555455019926,0.8997655488540395,1763496232.509232,0.6612134823813656,9,2314.536080558,1.4801518891211376,0.681174252362859,
