log,backbone,total_params,trainable_params,trainable_percent,trainable_percent_fmt,total_params_fmt,"# params
(%trainable)"
BPI12,gpt2,124497437.0,7145501.0,5.739476387774955,5.7%,1.2e+08,1.2e+08 (5.7%)
BPI12,gpt2,124497437.0,57629.0,0.04628930634130243,0.0%,1.2e+08,1.2e+08 (0.0%)
BPI12,gpt2,162246173.0,37806365.0,23.3018531660528,23.3%,1.6e+08,1.6e+08 (23.3%)
BPI17,gpt2,162247710.0,37807902.0,23.30257974057076,23.3%,1.6e+08,1.6e+08 (23.3%)
BPI17,gpt2,124498974.0,14234910.0,11.433756875779554,11.4%,1.2e+08,1.2e+08 (11.4%)
BPI17,gpt2,124498974.0,7147038.0,5.740640079491739,5.7%,1.2e+08,1.2e+08 (5.7%)
BPI17,gpt2,124498974.0,59166.0,0.04752328320392424,0.0%,1.2e+08,1.2e+08 (0.0%)
BPI20PrepaidTravelCosts,gpt2,162253858.0,37814050.0,23.30548590098856,23.3%,1.6e+08,1.6e+08 (23.3%)
BPI20PrepaidTravelCosts,gpt2,124505122.0,14241058.0,11.438130232104026,11.4%,1.2e+08,1.2e+08 (11.4%)
BPI20PrepaidTravelCosts,gpt2,124505122.0,7153186.0,5.745294559046334,5.7%,1.2e+08,1.2e+08 (5.7%)
BPI20PrepaidTravelCosts,gpt2,124505122.0,65314.0,0.052458885988642304,0.1%,1.2e+08,1.2e+08 (0.1%)
BPI20TravelPermitData,gpt2,162286135.0,37846327.0,23.32073963065298,23.3%,1.6e+08,1.6e+08 (23.3%)
BPI20TravelPermitData,gpt2,124537399.0,14273335.0,11.461083268649283,11.5%,1.2e+08,1.2e+08 (11.5%)
BPI20TravelPermitData,gpt2,124537399.0,7185463.0,5.7697230371737565,5.8%,1.2e+08,1.2e+08 (5.8%)
BPI20TravelPermitData,gpt2,124537399.0,97591.0,0.07836280569823045,0.1%,1.2e+08,1.2e+08 (0.1%)
BPI20RequestForPayment,gpt2,162233877.0,37794069.0,23.296040074293483,23.3%,1.6e+08,1.6e+08 (23.3%)
BPI20RequestForPayment,gpt2,124485141.0,14221077.0,11.423915244631486,11.4%,1.2e+08,1.2e+08 (11.4%)
BPI20RequestForPayment,gpt2,124485141.0,7133205.0,5.7301658195495,5.7%,1.2e+08,1.2e+08 (5.7%)
BPI20RequestForPayment,gpt2,124485141.0,45333.0,0.03641639446751319,0.0%,1.2e+08,1.2e+08 (0.0%)
BPI20PrepaidTravelCosts,gptneo-1b3,1366081570.0,50505762.0,3.697126372914906,3.7%,1.4e+09,1.4e+09 (3.7%)
BPI20PrepaidTravelCosts,gptneo-1b3,1315749922.0,100878370.0,7.666986584096487,7.7%,1.3e+09,1.3e+09 (7.7%)
BPI20PrepaidTravelCosts,gptneo-1b3,1315749922.0,50526242.0,3.840109822936398,3.8%,1.3e+09,1.3e+09 (3.8%)
BPI20PrepaidTravelCosts,gptneo-1b3,1315749922.0,174114.0,0.01323306177630919,0.0%,1.3e+09,1.3e+09 (0.0%)
BPI20TravelPermitData,gptneo-1b3,1366167607.0,50591799.0,3.7031912293028038,3.7%,1.4e+09,1.4e+09 (3.7%)
BPI20TravelPermitData,gptneo-1b3,1315835959.0,100964407.0,7.673023852967982,7.7%,1.3e+09,1.3e+09 (7.7%)
BPI20TravelPermitData,gptneo-1b3,1315835959.0,50612279.0,3.8463973152446735,3.8%,1.3e+09,1.3e+09 (3.8%)
BPI20TravelPermitData,gptneo-1b3,1315835959.0,260151.0,0.01977077752136427,0.0%,1.3e+09,1.3e+09 (0.0%)
BPI20RequestForPayment,gptneo-1b3,1366028309.0,50452501.0,3.6933715551571344,3.7%,1.4e+09,1.4e+09 (3.7%)
BPI20RequestForPayment,gptneo-1b3,1315696661.0,100825109.0,7.663248831487306,7.7%,1.3e+09,1.3e+09 (7.7%)
